Device Category,Country,Date,Session
desktop,Benin,2020-01-28,2
desktop,Benin,2020-09-24,1
desktop,Bhutan,2019-09-21,1
desktop,Bolivia,2020-01-16,1
desktop,Bolivia,2020-04-12,1
desktop,Botswana,2019-05-02,1
desktop,Botswana,2020-02-19,1
desktop,Botswana,2020-09-14,1
desktop,Botswana,2020-10-09,1
desktop,Botswana,2020-10-10,1
desktop,Botswana,2020-12-23,1
desktop,Brazil,2019-04-29,1
desktop,Brazil,2019-07-17,1
desktop,Brazil,2019-10-02,1
desktop,Brazil,2019-10-14,1
desktop,Brazil,2019-11-14,2
desktop,Brazil,2019-11-22,2
desktop,Brazil,2019-12-28,1
desktop,Brazil,2020-01-08,1
desktop,Brazil,2020-01-27,1
desktop,Brazil,2020-01-28,1
desktop,Brazil,2020-02-08,1
desktop,Brazil,2020-02-09,1
desktop,Brazil,2020-03-28,1
desktop,Brazil,2020-04-27,1
desktop,Brazil,2020-08-10,1
desktop,Brunei,2020-10-17,1
desktop,Brunei,2021-01-25,1
desktop,Bulgaria,2019-07-15,1
desktop,Bulgaria,2019-11-13,1
desktop,Bulgaria,2019-12-06,1
desktop,Bulgaria,2020-04-11,1
desktop,Bulgaria,2020-04-22,1
desktop,Bulgaria,2020-08-01,1
desktop,Bulgaria,2020-09-28,1
desktop,Bulgaria,2020-10-31,1
desktop,Bulgaria,2021-01-19,1
desktop,Bulgaria,2021-01-26,1
desktop,Bulgaria,2021-02-03,1
desktop,Cambodia,2020-10-02,1
desktop,Cambodia,2020-12-31,1
desktop,Cambodia,2021-01-05,2
desktop,Canada,2019-02-18,11
desktop,Canada,2019-02-19,1
desktop,Canada,2019-02-20,1
desktop,Canada,2019-02-22,4
