Path,Catalog
https://www.cakegift.in/chocolate-cake-1,"Cakes, Chocolate Cake, Birthday Cakes Online, Christmas Gift"
https://www.cakegift.in/chocolate-truffle-cake-5-star,
https://www.cakegift.in/special-chocolate-cake,
https://www.cakegift.in/lovely-gift-brother,"Occasions, Brother, Rakhi Gifts Online"
https://www.cakegift.in/perfect-combo-gift,"Combo, Occasions, Flowers and Cake, Father, Father's Day, Anniversary Combo"
https://www.cakegift.in/perfect-combo-couple,"Combo, Flowers and Cake, Anniversary Combo"
https://www.cakegift.in/special-flower-hamper,"Combo, Flowers and Cake, Delivery Type, Get Same Day Delivery, Women, Father, Anniversary Combo"
https://www.cakegift.in/marvelous-birthday,"Combo, Flowers and Cake, Father, Father's Day, Anniversary Combo, Birthday Cakes Online, Birthday Combo"
https://www.cakegift.in/pure-love,"Combo, Flowers and Cake, Father, Anniversary Combo, Father's Day"
https://www.cakegift.in/sweet-gesture,"Combo, Flowers and Cake, Anniversary Combo"
https://www.cakegift.in/sweet-combo,"Combo, Flowers and Cake, Eid Gifts Online"
https://www.cakegift.in/sweet-combo-sweet-heart,"Combo, Flowers & Chocolates, Flowers and Cake, Cake & Teddy Bear, Flower & Teddy Bear, Cake & Dry Fruits, Teddy Bear & Dry Fruits, Dry Fruits & Flower"
https://www.cakegift.in/brown-teddy-bear,"Teddy Bear, Teddy Day Gifts Online, Valentine Gift for Her, Valentine Day Gifts, Anniversary Gift, Kiss Day Gifts Online, Promise Day Gifts Online, Hug Day Gifts Online, Gift"
https://www.cakegift.in/big-brown-teddy,"Occasions, Teddy Bear, Get Same Day Delivery, Women, Valentine Day Gifts, Bhai Dooj, Karwa Chauth Gifts Online, Children's Day Gifts, Christmas Gift"
https://www.cakegift.in/white-teddy-bear,"Gift, Women, Girl Friend, Teddy Bear, Teddy Day Gifts Online, Valentine Gift for Her, Valentine Day Gifts, Anniversary Gift"
https://www.cakegift.in/big-brown-teddy-bear,"Birthday Gift, Teddy Bear, Valentine Day Gifts, Wedding, Anniversary Gift"
https://www.cakegift.in/motichoor-ladoo-0,"Sweets, Send Diwali Gifts Online, Karwa Chauth Gifts Online, Navratri Gifts, Dhanteras Gifts, Eid Gifts Online, Bhai Dooj, Holi Gifts Online, Rakhi Gifts Online"
https://www.cakegift.in/pink-orchid-vase,"Flowers, Occasions, Orchid flowers, Anniversary Flower"
https://www.cakegift.in/pink-roses-vase,"Flowers, Roses, valentine, Valentine Day Gifts, Valentine Flowers Online, Rose Day, Valentine Gift for Her, Valentine Gift For Him, Birthday Flowers, Anniversary Flower, Propose Day, Kiss Day Gifts Online, Promise Day Gifts Online, Hug Day Gifts Online"
https://www.cakegift.in/pink-roses-dairy-milk,"Combo, Anniversary Combo"
