rank,prev_rank,name,league,off,def,spi
407,398,Perth Glory,Australian A-League,1.11,1.7,32.79
408,405,ADO Den Haag,Dutch Eredivisie,1.21,1.83,32.74
409,406,St. Pölten,Austrian T-Mobile Bundesliga,1.13,1.74,32.68
410,408,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
411,411,Karlsruher SC,German 2. Bundesliga,1.09,1.7,32.31
412,400,Real Zaragoza,Spanish Segunda Division,1.02,1.61,32.3
413,412,Genclerbirligi,Turkish Turkcell Super Lig,0.99,1.57,32.27
414,414,SV Mattersburg,Austrian T-Mobile Bundesliga,1.08,1.7,32.22
415,409,Odd BK,Norwegian Tippeligaen,1.04,1.65,32.12
416,415,Montreal Impact,Major League Soccer,1.09,1.72,32.07
417,417,Newcastle Jets,Australian A-League,1.11,1.76,31.86
418,427,AIK,Swedish Allsvenskan,0.95,1.53,31.86
419,418,Kayserispor,Turkish Turkcell Super Lig,1.18,1.85,31.81
420,419,Ankaragucu,Turkish Turkcell Super Lig,0.97,1.57,31.8
421,420,Mirandes,Spanish Segunda Division,1.04,1.66,31.75
422,421,Sunderland,English League One,0.9,1.47,31.75
423,422,SpVgg Greuther Fürth,German 2. Bundesliga,1.02,1.65,31.75
424,455,San Antonio FC,United Soccer League,1.14,1.81,31.54
425,424,Oxford United,English League One,1.01,1.64,31.53
426,425,Cercle Brugge,Belgian Jupiler League,1.05,1.7,31.46
427,451,IK Sirius,Swedish Allsvenskan,1.22,1.92,31.41
428,423,Consadole Sapporo,Japanese J League,1.15,1.84,31.36
429,426,Deportivo La Coruña,Spanish Segunda Division,0.91,1.51,31.29
430,428,Rotherham United,English League One,1.09,1.77,31.02
431,429,Albacete,Spanish Segunda Division,0.74,1.29,31.02
432,430,Lugo,Spanish Segunda Division,0.86,1.47,30.87
433,431,AC Horsens,Danish SAS-Ligaen,1.0,1.67,30.84
434,432,VfL Bochum,German 2. Bundesliga,1.0,1.67,30.82
435,433,Portsmouth,English League One,0.94,1.59,30.77
436,434,Denizlispor,Turkish Turkcell Super Lig,0.87,1.5,30.57
437,435,Valenciennes,French Ligue 2,0.8,1.4,30.47
438,436,Eupen,Belgian Jupiler League,1.04,1.74,30.42
439,438,Sonderjyske,Danish SAS-Ligaen,0.96,1.65,30.19
440,445,Wellington Phoenix,Australian A-League,1.1,1.83,30.17
441,439,Panetolikos,Greek Super League,0.86,1.51,30.07
442,440,Colon Santa Fe,Argentina Primera Division,0.83,1.48,29.95
443,447,IFK Goteborg,Swedish Allsvenskan,1.01,1.73,29.82
444,441,Godoy Cruz,Argentina Primera Division,0.94,1.64,29.76
445,442,Jahn Regensburg,German 2. Bundesliga,1.09,1.85,29.72
446,463,Nashville SC,Major League Soccer,0.86,1.53,29.7
447,443,SuperSport United,South African ABSA Premier League,0.81,1.46,29.64
448,444,VVV Venlo,Dutch Eredivisie,1.04,1.8,29.59
449,446,Coventry City,English League One,0.83,1.49,29.55
450,448,Auxerre,French Ligue 2,0.77,1.42,29.4
451,449,Adelaide United,Australian A-League,1.22,2.05,29.37
452,437,Tampa Bay Rowdies,United Soccer League,0.97,1.71,29.29
453,450,Fortuna Sittard,Dutch Eredivisie,1.04,1.81,29.12
454,471,Viking FK,Norwegian Tippeligaen,1.11,1.94,28.75
455,453,Hobro IK,Danish SAS-Ligaen,0.97,1.75,28.68
456,454,Desportivo Aves,Portuguese Liga,0.82,1.53,28.63
457,456,Chievo Verona,Italy Serie B,0.85,1.58,28.59
458,460,Orange County SC,United Soccer League,0.94,1.71,28.47
459,457,Erzgebirge Aue,German 2. Bundesliga,0.93,1.7,28.46
460,458,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
461,459,AS Nancy Lorraine,French Ligue 2,0.73,1.42,28.24
462,461,Larissa,Greek Super League,0.7,1.38,28.18
463,473,Frosinone,Italy Serie B,0.79,1.52,28.14
464,464,RKC,Dutch Eredivisie,1.04,1.89,27.95
465,452,Valerenga,Norwegian Tippeligaen,0.94,1.75,27.93
466,468,Stabaek,Norwegian Tippeligaen,0.93,1.74,27.89
467,465,Extremadura UD,Spanish Segunda Division,0.84,1.62,27.6
468,466,Lamia,Greek Super League,0.55,1.18,27.53
469,467,Cittadella,Italy Serie B,0.88,1.69,27.49
470,469,Indy Eleven,United Soccer League,0.86,1.66,27.36
471,472,Doncaster Rovers,English League One,0.84,1.65,27.3
472,481,Pittsburgh Riverhounds,United Soccer League,0.93,1.77,27.28
473,474,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.92,1.76,27.18
474,475,Numancia,Spanish Segunda Division,0.81,1.61,27.14
475,476,SV Wehen Wiesbaden,German 2. Bundesliga,1.11,2.04,27.09
476,478,FC St. Pauli,German 2. Bundesliga,0.96,1.84,26.99
477,499,Reno 1868 FC,United Soccer League,1.03,1.94,26.92
478,479,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
479,480,Western Sydney FC,Australian A-League,1.07,2.0,26.8
480,482,Esbjerg,Danish SAS-Ligaen,1.0,1.91,26.76
481,483,Melbourne Victory,Australian A-League,1.07,2.01,26.6
482,484,SD Ponferradina,Spanish Segunda Division,0.75,1.55,26.6
483,462,Western United,Australian A-League,1.04,1.98,26.58
484,470,Kilmarnock,Scottish Premiership,0.88,1.74,26.55
485,485,KV Oostende,Belgian Jupiler League,0.97,1.88,26.49
486,477,Shimizu S-Pulse,Japanese J League,1.08,2.04,26.43
487,489,Brisbane Roar,Australian A-League,0.91,1.81,26.16
488,490,Empoli,Italy Serie B,0.89,1.79,26.07
489,491,Neuchatel Xamax,Swiss Raiffeisen Super League,0.88,1.77,26.06
490,486,Livingston,Scottish Premiership,0.89,1.79,26.03
491,487,Dundee Utd,Scottish Premiership,0.81,1.68,25.97
492,493,Chambly Thelle FC,French Ligue 2,0.76,1.61,25.81
493,494,FC Xanthi,Greek Super League,0.58,1.33,25.81
494,495,Grenoble,French Ligue 2,0.73,1.56,25.8
495,496,Dynamo Dresden,German 2. Bundesliga,0.84,1.74,25.7
496,502,Haugesund,Norwegian Tippeligaen,0.82,1.72,25.62
497,497,Vegalta Sendai,Japanese J League,0.8,1.68,25.61
498,498,Rodez,French Ligue 2,0.76,1.61,25.61
499,500,Mazatlán FC,Mexican Primera Division Torneo Apertura,0.8,1.69,25.39
500,501,Lyngby,Danish SAS-Ligaen,0.87,1.8,25.36
501,488,Motherwell,Scottish Premiership,0.76,1.66,25.07
502,503,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,0.93,1.93,24.76
503,504,Sochaux,French Ligue 2,0.68,1.55,24.74
504,530,Östersunds FK,Swedish Allsvenskan,0.73,1.62,24.7
505,492,SK Brann,Norwegian Tippeligaen,0.82,1.77,24.6
